Date,Tank,Treatment,Count1,Count2,Count3,Count4,Volume.Counted
20160308,1,High,75,84,97,87,0.0009
20160308,2,Ambient,106,114,NA,NA,0.0009
20160308,3,Ambient,113,115,NA,NA,0.0009
20160308,4,High,112,93,NA,NA,0.0009
20160308,5,High,103,115,NA,NA,0.0009
20160308,6,Ambient,115,84,NA,NA,0.0009
20160309,1,High,143,159,NA,NA,0.0009
20160309,2,Ambient,158,140,NA,NA,0.0009
20160309,3,Ambient,145,177,NA,NA,0.0009
20160309,4,High,126,119,NA,NA,0.0009
20160309,5,High,126,115,NA,NA,0.0009
20160309,6,Ambient,119,121,NA,NA,0.0009
20160310,1,High,113,150,NA,NA,0.0009
20160310,2,Ambient,117,123,NA,NA,0.0009
20160310,3,Ambient,128,134,NA,NA,0.0009
20160310,4,High,136,116,NA,NA,0.0009
20160310,5,High,133,127,NA,NA,0.0009
20160310,6,Ambient,153,139,NA,NA,0.0009
20160311,1,High,68,82,NA,NA,0.0009
20160311,2,Ambient,65,72,NA,NA,0.0009
20160311,3,Ambient,77,66,NA,NA,0.0009
20160311,4,High,81,77,NA,NA,0.0009
20160311,5,High,74,61,NA,NA,0.0009
20160311,6,Ambient,72,62,NA,NA,0.0009
